"Area","Zona","Sottoarea","Latitudine","Longitudine","Data","Vendite.previste","Vendite.previste.approssimate","Mean.Absolute.Error","Root.Mean.Squared.Error","Mean.Squared.Error","Mean.Absolute.Percentage.Error"
"Area_47","Zona_17","Sottoarea_102","40.13427956","18.22246719","5/20/16","5.4727","5.0","0.5224","0.7401","0.5478","18.1223"
,,,,,"5/21/16","3.4948","3.0","0.5209","0.7387","0.5457","17.8958"
,,,,,"5/22/16","0.68","1.0","0.5211","0.7392","0.5465","17.89"
,,,,,"5/23/16","2.4536","2.0","0.5216","0.7399","0.5474","17.8958"
,,,,,"5/24/16","5.1185","5.0","0.5222","0.7405","0.5484","17.8914"
,,,,,"5/25/16","4.2753","4.0","0.5228","0.7412","0.5494","17.9073"
,,,,,"5/26/16","4.9854","5.0","0.5214","0.7399","0.5474","17.9073"
,,,,,"5/27/16","5.2292","5.0","0.521","0.74","0.5476","17.8712"
,,,,,"5/28/16","2.4756","2.0","0.5204","0.7397","0.5472","17.8186"
,,,,,"5/29/16","0.7796","1.0","0.5201","0.7399","0.5474","17.7834"
"Area_56","Zona_20","Sottoarea_103","36.9583946","14.67003174","5/20/16","3.0072","3.0","0.2739","0.3624","0.1314","14.6539"
,,,,,"5/21/16","3.6743","4.0","0.2726","0.3604","0.1299","14.6539"
,,,,,"5/22/16","0.1333","0.0","0.2724","0.3605","0.1299","14.6111"
,,,,,"5/23/16","1.6069","2.0","0.2723","0.3605","0.13","14.6075"
,,,,,"5/24/16","2.1459","2.0","0.2727","0.3609","0.1302","14.6257"
,,,,,"5/25/16","2.1451","2.0","0.273","0.3612","0.1304","14.6212"
,,,,,"5/26/16","2.585","3.0","0.2723","0.3605","0.1299","14.6212"
,,,,,"5/27/16","2.7572","3.0","0.2718","0.3601","0.1296","14.5334"
,,,,,"5/28/16","1.4967","1.0","0.2718","0.3602","0.1298","14.5372"
,,,,,"5/29/16","0.1567","0.0","0.2722","0.3606","0.13","14.5631"
"Area_56","Zona_20","Sottoarea_104","37.0343246","15.12430735","5/20/16","2.5596","3.0","0.2648","0.3676","0.1352","14.5713"
,,,,,"5/21/16","2.7189","3.0","0.2642","0.3672","0.1348","14.4782"
,,,,,"5/22/16","0.0464","0.0","0.2644","0.3675","0.135","14.4756"
,,,,,"5/23/16","1.8161","2.0","0.2649","0.3678","0.1353","14.5017"
,,,,,"5/24/16","2.542","3.0","0.2652","0.3682","0.1356","14.5117"
,,,,,"5/25/16","2.1944","2.0","0.2655","0.3685","0.1358","14.5172"
,,,,,"5/26/16","2.2746","2.0","0.2651","0.3682","0.1356","14.5172"
,,,,,"5/27/16","2.3093","2.0","0.265","0.3683","0.1357","14.4788"
,,,,,"5/28/16","0.9833","1.0","0.2651","0.3686","0.1359","14.4887"
,,,,,"5/29/16","0.2767","0.0","0.2654","0.3689","0.1361","14.492"
"Area_11","Zona_5","Sottoarea_105","44.55122556","10.6160705","5/20/16","6.6533","7.0","0.4444","0.6318","0.3992","15.3292"
,,,,,"5/21/16","3.7835","4.0","0.4422","0.6286","0.3952","15.0337"
,,,,,"5/22/16","1.9216","2.0","0.4423","0.629","0.3957","15.0244"
,,,,,"5/23/16","5.5331","6.0","0.4424","0.6294","0.3961","14.969"
,,,,,"5/24/16","6.2182","6.0","0.4431","0.63","0.3969","14.9855"
,,,,,"5/25/16","6.0321","6.0","0.4437","0.6306","0.3977","15.0054"
,,,,,"5/26/16","8.2045","8.0","0.4426","0.6296","0.3964","15.0054"
,,,,,"5/27/16","6.7309","7.0","0.4434","0.6303","0.3972","15.0347"
,,,,,"5/28/16","3.329","3.0","0.4443","0.6309","0.398","15.0667"
,,,,,"5/29/16","1.9585","2.0","0.4442","0.6311","0.3983","15.0441"
"Area_14","Zona_6","Sottoarea_106","43.99437259","12.39047588","5/20/16","6.1145","6.0","0.4308","0.6054","0.3665","15.2199"
,,,,,"5/21/16","5.0322","5.0","0.4297","0.6045","0.3654","15.0486"
,,,,,"5/22/16","1.9531","2.0","0.4255","0.594","0.3529","15.0194"
,,,,,"5/23/16","4.0582","4.0","0.4263","0.5946","0.3536","15.0491"
,,,,,"5/24/16","5.5414","6.0","0.4268","0.5952","0.3542","15.0504"
,,,,,"5/25/16","7.4346","7.0","0.4274","0.5957","0.3549","15.0719"
,,,,,"5/26/16","8.816","9.0","0.4257","0.5936","0.3523","15.0719"
,,,,,"5/27/16","6.4463","6.0","0.4254","0.5937","0.3525","15.0477"
,,,,,"5/28/16","3.7162","4.0","0.4257","0.5941","0.353","15.0465"
,,,,,"5/29/16","1.4267","1.0","0.4248","0.5935","0.3522","14.9857"
"Area_14","Zona_6","Sottoarea_107","44.12315426","12.00363524","5/20/16","2.7034","3.0","0.2546","0.4725","0.2233","16.3576"
,,,,,"5/21/16","2.4097","2.0","0.2542","0.4725","0.2233","16.3576"
,,,,,"5/22/16","0.913","1.0","0.252","0.4692","0.2202","16.311"
,,,,,"5/23/16","1.8031","2.0","0.2525","0.4697","0.2206","16.311"
,,,,,"5/24/16","3.0562","3.0","0.2529","0.4702","0.2211","16.311"
,,,,,"5/25/16","5.3854","5.0","0.2531","0.4706","0.2214","16.3044"
,,,,,"5/26/16","3.4172","3.0","0.2529","0.4708","0.2216","16.3044"
,,,,,"5/27/16","2.6934","3.0","0.2525","0.4709","0.2217","16.3044"
,,,,,"5/28/16","2.0578","2.0","0.2521","0.4709","0.2217","16.2216"
,,,,,"5/29/16","0.5657","1.0","0.2518","0.471","0.2218","16.2216"
"Area_48","Zona_18","Sottoarea_108","41.92035088","12.46358613","5/20/16","2.8733","3.0","0.268","0.5015","0.2515","16.7951"
,,,,,"5/21/16","1.8235","2.0","0.2676","0.5015","0.2515","16.7951"
,,,,,"5/22/16","0.1599","0.0","0.2681","0.502","0.252","16.8305"
,,,,,"5/23/16","0.8106","1.0","0.2683","0.5025","0.2525","16.8305"
,,,,,"5/24/16","1.6394","2.0","0.2687","0.503","0.253","16.8305"
,,,,,"5/25/16","1.8277","2.0","0.2689","0.5034","0.2534","16.8266"
,,,,,"5/26/16","2.0383","2.0","0.2684","0.5033","0.2533","16.8266"
,,,,,"5/27/16","2.2365","2.0","0.2685","0.5037","0.2538","16.8154"
,,,,,"5/28/16","1.0552","1.0","0.2688","0.5042","0.2543","16.8321"
,,,,,"5/29/16","0.0433","0.0","0.2688","0.5046","0.2546","16.8383"
"Area_48","Zona_18","Sottoarea_109","41.8999525","12.4555524","5/20/16","3.4692","3.0","0.4443","0.6409","0.4108","18.2518"
,,,,,"5/21/16","2.1656","2.0","0.444","0.641","0.4108","18.2249"
,,,,,"5/22/16","0.6094","1.0","0.4447","0.6416","0.4116","18.2557"
,,,,,"5/23/16","1.5299","2.0","0.4452","0.6422","0.4124","18.2552"
,,,,,"5/24/16","3.3779","3.0","0.4451","0.6424","0.4127","18.2392"
,,,,,"5/25/16","2.8103","3.0","0.4444","0.6421","0.4123","18.105"
,,,,,"5/26/16","2.9067","3.0","0.4428","0.6403","0.41","18.105"
,,,,,"5/27/16","4.0991","4.0","0.4431","0.6408","0.4106","18.1121"
,,,,,"5/28/16","2.1927","2.0","0.4437","0.6414","0.4114","18.144"
,,,,,"5/29/16","0.6188","1.0","0.4444","0.6421","0.4123","18.175"
"Area_68","Zona_22","Sottoarea_11","45.51633745","7.58600771","5/20/16","2.0832","2.0","0.2423","0.3607","0.1301","14.8665"
,,,,,"5/21/16","1.3633","1.0","0.2417","0.3602","0.1297","14.8665"
,,,,,"5/22/16","0.1808","0.0","0.2415","0.3602","0.1298","14.8234"
,,,,,"5/23/16","0.9268","1.0","0.2418","0.3606","0.13","14.8388"
,,,,,"5/24/16","1.4981","1.0","0.2416","0.3605","0.13","14.8388"
,,,,,"5/25/16","1.3654","1.0","0.2419","0.3609","0.1302","14.8657"
,,,,,"5/26/16","1.814","2.0","0.2413","0.3604","0.1299","14.8657"
,,,,,"5/27/16","2.3667","2.0","0.2412","0.3606","0.13","14.8357"
,,,,,"5/28/16","1.0533","1.0","0.2417","0.3609","0.1303","14.8636"
,,,,,"5/29/16","0.1881","0.0","0.2419","0.3612","0.1305","14.883"
"Area_49","Zona_18","Sottoarea_110","41.96836967","12.54929089","5/20/16","2.0404","2.0","0.3145","0.4894","0.2396","18.9598"
,,,,,"5/21/16","1.0774","1.0","0.3143","0.4895","0.2396","18.8997"
,,,,,"5/22/16","0.0156","0.0","0.3144","0.4899","0.24","18.8831"
,,,,,"5/23/16","0.5536","1.0","0.315","0.4904","0.2405","18.9248"
,,,,,"5/24/16","1.3434","1.0","0.3151","0.4907","0.2408","18.9127"
,,,,,"5/25/16","1.8593","2.0","0.3149","0.4909","0.241","18.9127"
,,,,,"5/26/16","2.271","2.0","0.3142","0.4905","0.2406","18.9127"
,,,,,"5/27/16","2.07","2.0","0.3141","0.4907","0.2408","18.8684"
,,,,,"5/28/16","1.0518","1.0","0.3139","0.4908","0.2409","18.813"
,,,,,"5/29/16","0.0356","0.0","0.3142","0.4913","0.2413","18.8415"
"Area_49","Zona_18","Sottoarea_111","41.84841183","12.60894846","5/20/16","8.7458","9.0","0.794","1.1378","1.2945","18.3876"
,,,,,"5/21/16","4.5286","5.0","0.7915","1.1352","1.2887","18.2118"
,,,,,"5/22/16","1.313","1.0","0.7906","1.135","1.2882","18.1183"
,,,,,"5/23/16","3.3847","3.0","0.7921","1.1361","1.2907","18.155"
,,,,,"5/24/16","7.6808","8.0","0.7927","1.137","1.2928","18.1593"
,,,,,"5/25/16","5.6184","6.0","0.7913","1.1361","1.2908","18.0373"
,,,,,"5/26/16","5.5453","6.0","0.7867","1.1291","1.2748","18.0373"
,,,,,"5/27/16","9.6006","10.0","0.786","1.1291","1.2748","18.0156"
,,,,,"5/28/16","3.8939","4.0","0.7838","1.127","1.2702","17.9207"
,,,,,"5/29/16","1.3959","1.0","0.784","1.1277","1.2717","17.9289"
"Area_50","Zona_18","Sottoarea_112","41.913501","12.50350144","5/20/16","2.3842","2.0","0.2504","0.3926","0.1542","15.8407"
,,,,,"5/21/16","1.538","2.0","0.2498","0.3922","0.1538","15.8407"
,,,,,"5/22/16","0.3005","0.0","0.2501","0.3926","0.1541","15.8584"
,,,,,"5/23/16","0.8004","1.0","0.2502","0.3928","0.1543","15.8584"
,,,,,"5/24/16","2.0895","2.0","0.2506","0.3932","0.1546","15.8584"
,,,,,"5/25/16","1.5306","2.0","0.2511","0.3936","0.1549","15.8953"
,,,,,"5/26/16","0.6264","1.0","0.2505","0.3933","0.1547","15.8953"
,,,,,"5/27/16","1.4361","1.0","0.2508","0.3936","0.155","15.9064"
,,,,,"5/28/16","1.1778","1.0","0.2511","0.394","0.1552","15.9209"
,,,,,"5/29/16","0.056","0.0","0.2515","0.3944","0.1556","15.9572"
"Area_50","Zona_18","Sottoarea_113","41.8880308","12.5376749","5/20/16","7.7148","8.0","0.7583","1.1146","1.2423","21.947"
,,,,,"5/21/16","6.051","6.0","0.7566","1.1133","1.2395","21.6449"
,,,,,"5/22/16","1.803","2.0","0.7573","1.1143","1.2416","21.6498"
,,,,,"5/23/16","3.2722","3.0","0.7583","1.1153","1.2439","21.6647"
,,,,,"5/24/16","6.3897","6.0","0.7597","1.1164","1.2464","21.6993"
,,,,,"5/25/16","6.4565","6.0","0.7592","1.1167","1.247","21.5351"
,,,,,"5/26/16","7.7731","8.0","0.7577","1.1157","1.2448","21.5351"
,,,,,"5/27/16","7.9975","8.0","0.7572","1.1159","1.2452","21.4724"
,,,,,"5/28/16","4.5019","5.0","0.7582","1.117","1.2476","21.5087"
,,,,,"5/29/16","1.5519","2.0","0.7591","1.118","1.2499","21.5312"
"Area_51","Zona_18","Sottoarea_114","41.79143088","12.38713285","5/20/16","6.9393","7.0","0.7649","1.038","1.0775","18.1204"
,,,,,"5/21/16","4.2036","4.0","0.7623","1.0349","1.0711","17.9426"
,,,,,"5/22/16","1.4002","1.0","0.7622","1.0353","1.0719","17.9375"
,,,,,"5/23/16","3.5325","4.0","0.7626","1.036","1.0733","17.9446"
,,,,,"5/24/16","5.8423","6.0","0.763","1.0368","1.0749","17.9436"
,,,,,"5/25/16","6.7182","7.0","0.762","1.0363","1.0738","17.8493"
,,,,,"5/26/16","5.8712","6.0","0.7593","1.0331","1.0673","17.8493"
,,,,,"5/27/16","7.5036","8.0","0.7589","1.0332","1.0675","17.8346"
,,,,,"5/28/16","4.4372","4.0","0.7584","1.0333","1.0677","17.8205"
,,,,,"5/29/16","1.1565","1.0","0.759","1.0341","1.0694","17.8391"
"Area_51","Zona_18","Sottoarea_115","41.83022","12.49413","5/20/16","0.7451","1.0","0.1708","0.2521","0.0636","17.4745"
,,,,,"5/21/16","0.3499","0.0","0.1704","0.2518","0.0634","17.4745"
,,,,,"5/22/16","0.0144","0.0","0.1702","0.2518","0.0634","17.4745"
,,,,,"5/23/16","0.6267","1.0","0.1702","0.252","0.0635","17.4745"
,,,,,"5/24/16","0.1923","0.0","0.1706","0.2522","0.0636","17.4745"
,,,,,"5/25/16","0.1434","0.0","0.1695","0.2504","0.0627","17.4745"
,,,,,"5/26/16","0.1033","0.0","0.1686","0.2492","0.0621","17.4745"
,,,,,"5/27/16","0.2286","0.0","0.1682","0.2489","0.0619","17.4745"
,,,,,"5/28/16","0.0767","0.0","0.1682","0.249","0.062","17.4745"
,,,,,"5/29/16","0.0144","0.0","0.1681","0.2491","0.062","17.4456"
"Area_52","Zona_19","Sottoarea_116","40.7345388","9.326377333","5/20/16","1.2055","1.0","0.1708","0.2258","0.051","11.4347"
,,,,,"5/21/16","0.8481","1.0","0.1703","0.2251","0.0507","11.4347"
,,,,,"5/22/16","0.4767","0.0","0.1706","0.2253","0.0508","11.4591"
,,,,,"5/23/16","0.9501","1.0","0.1707","0.2255","0.0508","11.4591"
,,,,,"5/24/16","1.0478","1.0","0.1704","0.2253","0.0508","11.4106"
,,,,,"5/25/16","0.9804","1.0","0.1705","0.2254","0.0508","11.4048"
,,,,,"5/26/16","1.3699","1.0","0.1697","0.2244","0.0503","11.4048"
,,,,,"5/27/16","0.8759","1.0","0.1699","0.2246","0.0504","11.4184"
,,,,,"5/28/16","0.8666","1.0","0.1698","0.2246","0.0504","11.3903"
,,,,,"5/29/16","0.6367","1.0","0.1701","0.2248","0.0505","11.4075"
"Area_52","Zona_19","Sottoarea_117","39.98356954","9.160310634","5/20/16","0.427","0.0","0.1294","0.1756","0.0308","25.0745"
,,,,,"5/21/16","0.0817","0.0","0.1297","0.1757","0.0309","25.0745"
,,,,,"5/22/16","0.0387","0.0","0.1297","0.1758","0.0309","25.0745"
,,,,,"5/23/16","0.0629","0.0","0.1299","0.176","0.031","25.0745"
,,,,,"5/24/16","0.0917","0.0","0.1302","0.1762","0.031","25.0745"
,,,,,"5/25/16","0.3036","0.0","0.1304","0.1764","0.0311","25.0745"
,,,,,"5/26/16","0.3703","0.0","0.1305","0.1765","0.0311","25.0745"
,,,,,"5/27/16","0.427","0.0","0.1307","0.1766","0.0312","25.0745"
,,,,,"5/28/16","0.0167","0.0","0.1309","0.1768","0.0313","25.0745"
,,,,,"5/29/16","0.0","0.0","0.131","0.177","0.0313","25.0745"
"Area_52","Zona_19","Sottoarea_118","40.6965492","8.542722617","5/20/16","1.6992","2.0","0.2089","0.2762","0.0763","12.9196"
,,,,,"5/21/16","1.2495","1.0","0.2092","0.2764","0.0764","12.9256"
,,,,,"5/22/16","0.7484","1.0","0.2089","0.2763","0.0763","12.9256"
,,,,,"5/23/16","0.7379","1.0","0.2093","0.2765","0.0765","12.9511"
,,,,,"5/24/16","1.4816","1.0","0.2095","0.2768","0.0766","12.9585"
,,,,,"5/25/16","1.7526","2.0","0.2093","0.2768","0.0766","12.9585"
,,,,,"5/26/16","1.8567","2.0","0.2085","0.2757","0.076","12.9585"
,,,,,"5/27/16","1.7958","2.0","0.2086","0.2759","0.0761","12.9489"
,,,,,"5/28/16","0.9783","1.0","0.2086","0.276","0.0762","12.9264"
,,,,,"5/29/16","0.7903","1.0","0.2089","0.2762","0.0763","12.9406"
"Area_53","Zona_19","Sottoarea_119","39.89445102","8.724187817","5/20/16","0.2123","0.0","0.1198","0.1663","0.0277","24.095"
,,,,,"5/21/16","0.0067","0.0","0.1199","0.1664","0.0277","24.095"
,,,,,"5/22/16","0.0033","0.0","0.12","0.1666","0.0277","24.095"
,,,,,"5/23/16","0.008","0.0","0.1201","0.1667","0.0278","24.095"
,,,,,"5/24/16","0.4433","0.0","0.1203","0.1669","0.0279","24.095"
,,,,,"5/25/16","0.4798","0.0","0.1205","0.167","0.0279","24.095"
,,,,,"5/26/16","0.6033","1.0","0.1206","0.1672","0.0279","24.095"
,,,,,"5/27/16","0.5119","1.0","0.1203","0.167","0.0279","24.095"
,,,,,"5/28/16","0.0033","0.0","0.1203","0.167","0.0279","24.095"
,,,,,"5/29/16","0.0","0.0","0.1203","0.1671","0.0279","24.095"
"Area_68","Zona_22","Sottoarea_12","45.18163759","7.806423795","5/20/16","1.731","2.0","0.3429","0.5039","0.2539","18.3461"
,,,,,"5/21/16","2.2679","2.0","0.3423","0.5036","0.2536","18.3461"
,,,,,"5/22/16","0.3849","0.0","0.3428","0.5041","0.2541","18.3708"
,,,,,"5/23/16","0.5268","1.0","0.3432","0.5045","0.2545","18.3725"
,,,,,"5/24/16","2.4971","2.0","0.3435","0.505","0.255","18.3725"
,,,,,"5/25/16","2.6091","3.0","0.3437","0.5054","0.2554","18.3585"
,,,,,"5/26/16","2.6056","3.0","0.343","0.5049","0.2549","18.3585"
,,,,,"5/27/16","2.1955","2.0","0.3429","0.5051","0.2551","18.3112"
,,,,,"5/28/16","1.5595","2.0","0.3432","0.5055","0.2556","18.3113"
,,,,,"5/29/16","0.1767","0.0","0.3439","0.5061","0.2561","18.345"
"Area_53","Zona_19","Sottoarea_120","39.3089657","8.963801333","5/20/16","4.3568","4.0","0.4552","0.5924","0.3509","16.4058"
,,,,,"5/21/16","5.3112","5.0","0.4547","0.5921","0.3506","16.2928"
,,,,,"5/22/16","2.0695","2.0","0.4555","0.5927","0.3513","16.3223"
,,,,,"5/23/16","2.5654","3.0","0.456","0.5932","0.3519","16.333"
,,,,,"5/24/16","4.1385","4.0","0.456","0.5935","0.3522","16.3351"
,,,,,"5/25/16","5.0168","5.0","0.4556","0.5934","0.3521","16.3021"
,,,,,"5/26/16","4.9935","5.0","0.4538","0.5909","0.3492","16.3021"
,,,,,"5/27/16","4.4762","4.0","0.4526","0.5896","0.3477","16.1159"
,,,,,"5/28/16","3.5973","4.0","0.4532","0.5902","0.3483","16.1382"
,,,,,"5/29/16","2.0573","2.0","0.4541","0.5908","0.349","16.172"
"Area_59","Zona_21","Sottoarea_121","37.85570108","12.72392368","5/20/16","7.4472","7.0","0.4566","0.6122","0.3748","17.0108"
,,,,,"5/21/16","3.8207","4.0","0.4544","0.6088","0.3706","16.7103"
,,,,,"5/22/16","1.4729","1.0","0.4543","0.609","0.3708","16.6921"
,,,,,"5/23/16","1.5392","2.0","0.4545","0.6094","0.3713","16.7038"
,,,,,"5/24/16","5.3021","5.0","0.4547","0.6097","0.3718","16.6572"
,,,,,"5/25/16","5.1235","5.0","0.4539","0.6092","0.3711","16.6006"
,,,,,"5/26/16","6.0568","6.0","0.4517","0.6058","0.367","16.6006"
,,,,,"5/27/16","6.8935","7.0","0.4524","0.6064","0.3678","16.6303"
,,,,,"5/28/16","3.6472","4.0","0.4525","0.6068","0.3682","16.6378"
,,,,,"5/29/16","0.9245","1.0","0.4527","0.6071","0.3686","16.6313"
"Area_59","Zona_21","Sottoarea_122","38.12482906","13.16621494","5/20/16","3.2213","3.0","0.2333","0.3199","0.1023","15.7885"
,,,,,"5/21/16","1.9625","2.0","0.2324","0.3189","0.1017","15.7885"
,,,,,"5/22/16","0.2702","0.0","0.2328","0.3192","0.1019","15.8168"
,,,,,"5/23/16","1.2955","1.0","0.233","0.3195","0.1021","15.8171"
,,,,,"5/24/16","2.7466","3.0","0.2331","0.3197","0.1022","15.8171"
,,,,,"5/25/16","2.0485","2.0","0.2333","0.32","0.1024","15.8348"
,,,,,"5/26/16","2.1857","2.0","0.2324","0.3187","0.1016","15.8348"
,,,,,"5/27/16","3.1548","3.0","0.2325","0.3189","0.1017","15.8321"
,,,,,"5/28/16","1.9771","2.0","0.2325","0.3191","0.1018","15.8119"
,,,,,"5/29/16","0.2589","0.0","0.2329","0.3194","0.102","15.8461"
"Area_62","Zona_23","Sottoarea_123","43.95156165","11.33715451","5/20/16","1.9202","2.0","0.2614","0.3697","0.1367","15.6286"
,,,,,"5/21/16","1.7797","2.0","0.2618","0.3701","0.137","15.6534"
,,,,,"5/22/16","0.2696","0.0","0.2621","0.3704","0.1372","15.6649"
,,,,,"5/23/16","1.4066","1.0","0.2621","0.3706","0.1374","15.6423"
,,,,,"5/24/16","2.3127","2.0","0.2626","0.371","0.1376","15.6423"
,,,,,"5/25/16","2.0519","2.0","0.2625","0.3711","0.1377","15.6065"
,,,,,"5/26/16","3.968","4.0","0.2615","0.3699","0.1368","15.6065"
,,,,,"5/27/16","1.9202","2.0","0.2613","0.3698","0.1368","15.6125"
,,,,,"5/28/16","1.6694","2.0","0.2616","0.3702","0.137","15.6393"
,,,,,"5/29/16","0.1368","0.0","0.2617","0.3704","0.1372","15.651"
"Area_62","Zona_23","Sottoarea_124","43.72651923","11.35475385","5/20/16","3.2829","3.0","0.3362","0.4539","0.206","15.4272"
,,,,,"5/21/16","1.8608","2.0","0.3348","0.452","0.2043","15.4272"
,,,,,"5/22/16","0.2973","0.0","0.3342","0.4515","0.2039","15.4253"
,,,,,"5/23/16","1.7212","2.0","0.3348","0.452","0.2043","15.4549"
,,,,,"5/24/16","3.2863","3.0","0.3353","0.4524","0.2046","15.4602"
,,,,,"5/25/16","3.5548","4.0","0.3355","0.4527","0.205","15.4507"
,,,,,"5/26/16","3.0122","3.0","0.3345","0.4517","0.204","15.4507"
,,,,,"5/27/16","3.5891","4.0","0.3328","0.4488","0.2014","15.4401"
,,,,,"5/28/16","2.1903","2.0","0.3302","0.4436","0.1968","15.4243"
,,,,,"5/29/16","0.9224","1.0","0.3303","0.4439","0.197","15.4354"
"Area_63","Zona_23","Sottoarea_125","43.87888163","11.09766439","5/20/16","4.2283","4.0","0.3582","0.4746","0.2253","15.7387"
,,,,,"5/21/16","2.4527","2.0","0.3574","0.4739","0.2245","15.6091"
,,,,,"5/22/16","0.72","1.0","0.3573","0.474","0.2247","15.6008"
,,,,,"5/23/16","2.1413","2.0","0.3574","0.4742","0.2249","15.5979"
,,,,,"5/24/16","3.0922","3.0","0.3576","0.4746","0.2253","15.5863"
,,,,,"5/25/16","4.1234","4.0","0.3579","0.475","0.2256","15.5943"
,,,,,"5/26/16","4.0048","4.0","0.3562","0.4724","0.2232","15.5943"
,,,,,"5/27/16","3.5508","4.0","0.3561","0.4725","0.2233","15.583"
,,,,,"5/28/16","2.5165","3.0","0.3567","0.473","0.2237","15.6134"
,,,,,"5/29/16","0.8162","1.0","0.3558","0.4721","0.2228","15.6179"
"Area_63","Zona_23","Sottoarea_126","43.95093805","10.85626816","5/20/16","3.6163","4.0","0.3493","0.4858","0.236","17.0835"
,,,,,"5/21/16","2.0992","2.0","0.3487","0.4854","0.2356","17.0835"
,,,,,"5/22/16","0.7167","1.0","0.3488","0.4857","0.2359","17.056"
,,,,,"5/23/16","1.6733","2.0","0.3492","0.4861","0.2363","17.0551"
,,,,,"5/24/16","2.3366","2.0","0.3494","0.4865","0.2367","17.0409"
,,,,,"5/25/16","2.7815","3.0","0.3489","0.4863","0.2365","16.9505"
,,,,,"5/26/16","3.7121","4.0","0.348","0.4855","0.2357","16.9505"
,,,,,"5/27/16","3.7348","4.0","0.3486","0.486","0.2362","16.9803"
,,,,,"5/28/16","1.8566","2.0","0.3482","0.4859","0.2361","16.9794"
,,,,,"5/29/16","0.4698","0.0","0.3478","0.4857","0.2359","16.9735"
"Area_64","Zona_23","Sottoarea_127","43.47084308","11.68382054","5/20/16","3.0644","3.0","0.3921","0.5177","0.268","16.3415"
